unicode,devanagari,xnglo,sound
0x0915,क,k,ka
0x0916,ख,K,kha
0x0917,ग,g,ga
0x0918,घ,G,gha
0x091A,च,c,cha
0x091B,छ,C,chha
0x091C,ज,z,ja
0x091D,झ,Z,jha
0x091F,ट,t,ta_retroflex
0x0920,ठ,J,tha_retroflex
0x0921,ड,d,da_retroflex
0x0922,ढ,Q,dha_retroflex
0x0924,त,T,ta_dental
0x0925,थ,j,tha_dental
0x0926,द,D,da_dental
0x0927,ध,q,dha_dental
0x0928,न,n,na
0x092A,प,p,pa
0x092B,फ,f,pha
0x092C,ब,b,ba
0x092D,भ,B,bha
0x092E,म,m,ma
0x092F,य,y,ya
0x0930,र,r,ra
0x0932,ल,l,la
0x0935,व,w,va
0x0938,स,s,sa
0x0936,श,S,sha
0x0939,ह,H,ha_primary
0x0939,ह,v,ha_alt
