e52,xh52_src,action,notes
# G1 (20) - Indic consonants from Noto
k,noto,replace,Indic consonant
K,noto,replace,
z,noto,replace,
Z,noto,replace,
t,noto,replace,
T,keep,keep,Sunny Spells design pending
d,noto,replace,
D,noto,replace,
n,noto,replace,
p,noto,replace,
f,noto,replace,
b,noto,replace,
B,noto,replace,
m,noto,replace,
y,noto,replace,
r,noto,replace,
l,noto,replace,
w,noto,replace,
s,noto,replace,
S,noto,replace,
# G2 (10) - xh52 from xh38 (Devanagari)
x,xh38,replace,Hindi schwa design (अ + small x)
j,xh38,replace,
J,xh38,replace,
q,xh38,replace,
Q,xh38,replace,
v,xh38,replace,Hindi ha design
c,xh38,replace,
C,xh38,replace,
g,xh38,replace,
G,xh38,replace,
# G3 (14) - xh52 from xe52 (Latin)
N,xe52,replace,Latin shape
R,xe52,replace,Latin shape
a,xe52,replace,
i,xe52,replace,
u,xe52,replace,
e,xe52,replace,
o,xe52,replace,
h,xe52,replace,
L,xe52,replace,
Y,xe52,replace,
V,xe52,replace,
W,xe52,replace,
P,xe52,replace,
F,xe52,replace,
# G4 (6) - from Noto Math
E,noto_math,replace,math ≡
I,noto_math,replace,math ≠
O,noto_math,replace,math →
U,noto_math,replace,math ↓
M,noto_math,replace,math ≥
X,noto_math,replace,math ≤
# G5 (4) - xh52 from xh38 (Hindi designs)
A,xh38,replace,Hindi A design
H,xh38,replace,Hindi H design
