e52,xe38_src,action,notes
k,xe52,replace,
K,xe52,replace,
z,xe52,replace,
Z,xe52,replace,
t,xe52,replace,
T,xe52,replace,
d,xe52,replace,
D,xe52,replace,
n,xe52,replace,
p,xe52,replace,
f,xe52,replace,
b,xe52,replace,
B,xe52,replace,
m,xe52,replace,
y,xe52,replace,
r,xe52,replace,
l,xe52,replace,
w,xe52,replace,
s,xe52,replace,
S,xe52,replace,
x,xe52,replace,English x
j,xe52,replace,
J,xe52,replace,
q,xe52,replace,
Q,xe52,replace,
v,xe52,replace,English v
c,xe52,replace,
C,xe52,replace,
g,xe52,replace,
G,xe52,replace,
N,xe52,replace,
R,xe52,replace,
a,xe52,replace,
i,xe52,replace,
u,xe52,replace,
e,xe52,replace,
o,xe52,replace,
h,xe52,replace,
L,xe52,replace,
Y,xe52,replace,
V,xe52,replace,
W,xe52,replace,
P,xe52,replace,
F,xe52,replace,
E,noto_math,replace,
I,noto_math,replace,
O,noto_math,replace,
U,noto_math,replace,
M,noto_math,replace,
X,noto_math,replace,
A,xe52,replace,English A
H,xe52,replace,English H
